[(1987434, 99,  98, 98, b'First-class')
 (1810827, 99,  89, 96, b'First-class')
 (1814348, 99,  73, 91, b'First-class')
 (2097299, 99,  66, 89, b'First-class')
 (2097280, 87,  92, 89, b'First-class')
 (1812167, 99,  59, 87, b'First-class')
 (2080816, 99,  58, 86, b'First-class')
 (2014621, 88,  77, 84, b'First-class')
 (1892631, 89,  75, 84, b'First-class')
 (2134731, 90,  67, 83, b'First-class')
 (1923106, 84,  83, 83, b'First-class')
 (1875869, 94,  59, 83, b'First-class')
 (2166511, 76,  95, 82, b'First-class')
 (1955979, 77,  96, 82, b'First-class')
 (2050486, 75,  97, 81, b'First-class')
 (1979701, 99,  41, 81, b'First-class')
 (1844734, 94,  51, 81, b'First-class')
 (2155555, 99,  36, 80, b'First-class')
 (2119755, 73,  96, 80, b'First-class')
 (1961463, 99,  36, 80, b'First-class')
 (1907567, 85,  70, 80, b'First-class')
 (2127276, 99,  34, 79, b'First-class')
 (1828016, 79,  80, 79, b'First-class')
 (2135594, 92,  46, 78, b'First-class')
 (2127920, 86,  60, 78, b'First-class')
 (2117615, 71,  94, 78, b'First-class')
 (2005275, 78,  80, 78, b'First-class')
 (2086935, 68, 100, 77, b'First-class')
 (1838912, 86,  53, 76, b'First-class')
 (1898192, 72,  83, 75, b'First-class')
 (1925619, 74,  74, 74, b'First-class')
 (2078406, 72,  75, 73, b'First-class')
 (1903578, 88,  37, 72, b'First-class')
 (2161939, 67,  81, 71, b'First-class')
 (2086500, 74,  60, 70, b'First-class')
 (2013607, 80,  49, 70, b'First-class') (2168103, 98,   2, 69, b'Fail')
 (2140505, 57,  97, 69, b'Second-class')
 (2079765, 79,  46, 69, b'Second-class')
 (1801310, 65,  78, 69, b'Second-class')
 (1868058, 65,  75, 68, b'Second-class')
 (1815646, 64,  79, 68, b'Second-class')
 (2150482, 63,  74, 66, b'Second-class')
 (2131709, 66,  69, 66, b'Second-class')
 (2195576, 51,  98, 65, b'Second-class') (2068293, 82,  25, 65, b'Fail')
 (1980890, 61,  75, 65, b'Second-class')
 (1938973, 69,  54, 65, b'Second-class')
 (2133275, 51,  94, 64, b'Second-class')
 (2068701, 60,  70, 63, b'Second-class')
 (1822607, 66,  59, 63, b'Second-class')
 (2128205, 61,  64, 62, b'Second-class')
 (2127004, 68,  48, 62, b'Second-class')
 (2066237, 59,  68, 62, b'Second-class')
 (1855456, 70,  39, 61, b'Second-class')
 (1835247, 65,  51, 61, b'Second-class')
 (1991995, 68,  43, 60, b'Second-class')
 (1975802, 61,  57, 60, b'Second-class')
 (1901402, 70,  35, 59, b'Second-class')
 (2193120, 64,  45, 58, b'Second-class')
 (2124632, 57,  60, 58, b'Second-class')
 (1868578, 59,  53, 57, b'Second-class')
 (1920499, 54,  61, 56, b'Second-class')
 (1804425, 46,  79, 56, b'Second-class')
 (1956052, 56,  55, 55, b'Second-class')
 (1915819, 50,  68, 55, b'Second-class')
 (2121797, 46,  73, 54, b'Second-class')
 (2095152, 54,  54, 54, b'Second-class')
 (2049436, 39,  89, 54, b'Second-class')
 (1811398, 34,  99, 53, b'Second-class')
 (2082586, 58,  38, 52, b'Second-class')
 (1983929, 58,  38, 52, b'Second-class')
 (1894369, 61,  31, 52, b'Second-class')
 (2157631, 30, 100, 51, b'Second-class')
 (1996334, 40,  77, 51, b'Second-class')
 (1924280, 32,  96, 51, b'Second-class')
 (2194965, 49,  52, 50, b'Second-class')
 (2180906, 48,  54, 50, b'Second-class')
 (2165362, 45,  62, 50, b'Second-class')
 (2147325, 46,  57, 49, b'Second-class')
 (2099309, 37,  76, 49, b'Third-class')
 (2092266, 46,  56, 49, b'Third-class')
 (2176075, 38,  72, 48, b'Third-class')
 (2067524, 43,  61, 48, b'Third-class')
 (2125759, 49,  44, 47, b'Third-class') (1932827, 56,  28, 47, b'Fail')
 (2003492, 42,  54, 46, b'Third-class')
 (1971335, 47,  44, 46, b'Third-class')
 (1882149, 45,  45, 45, b'Third-class')
 (1963755, 47,  40, 44, b'Third-class') (1871813, 24,  84, 42, b'Fail')
 (1975305, 43,  38, 41, b'Third-class') (2168985, 32,  55, 39, b'Fail')
 (1992226, 30,  59, 38, b'Fail') (2116305, 20,  77, 37, b'Fail')
 (2083148, 19,  75, 36, b'Fail') (1962016, 29,  47, 34, b'Fail')
 (2022465, 19,  46, 27, b'Fail') (2105013,  5,  71, 25, b'Fail')
 (2170785,  7,  37, 16, b'Fail')]
